Ticker,MarketCap
HIG,37546950656
ROP,37508415488
WEC,37475172352
ODFL,36897509376
KDP,36677193728
TPL,36445261824
XYZ,36411285504
LVS,36281376768
WDAY,35864772608
MLM,35588329472
VMC,35006763008
ADM,34901618688
STT,34379173888
ACGL,34210131968
RMD,34026201088
MCHP,33934606336
KVUE,33322387456
CCL,33264125952
CPRT,33062641664
PAYX,33053724672
KMB,32491880448
OTIS,32391231488
NRG,32302419968
IR,32189644800
PRU,32151719936
GEHC,32007307264
EME,31711690752
ARES,31710349312
IRM,31701700608
A,31570563072
HBAN,31492229120
EXR,31052167168
ATO,30990024704
DTE,30727940096
VICI,30653511680
MTB,30509156352
EL,30473695232
AEE,30423281664
CBOE,30326417408
FISV,30162735104
TDY,29938194432
DG,29724477440
CTSH,29557270528
HAL,29469556736
FE,29431230464
TPR,29252636672
XYL,29249155072
HPE,28679116800
PPL,28648081408
DVN,28615892992
RJF,28593643520
CNP,28423395328
ULTA,28022183936
CHTR,27964069888
UAL,27962867712
DOV,27950452736
WAT,27910965248
EXPE,27850950656
IQV,27812556800
VRSK,27666849792
ES,27542675456
WTW,27453042688
EIX,27309764608
BIIB,27176011776
AWK,27024689152
DOW,26946148352
JBL,26931136512
ROL,26816081920
KHC,26427103232
WRB,26137856000
EXE,25938972672
STZ,25843365888
FICO,25825339392
CINF,25745393664
FIS,25550237696
NTRS,25526237184
STLD,25524609024
DXCM,25491462144
TSCO,25372766208
HUBB,24871921664
FOXA,24566622208
FOX,24559036416
OMC,24523356160
CFG,24459239424
BG,24367632384
CTRA,24292931584
AVB,24238221312
CHD,23912153088
MTD,23822835712
LYB,23758426112
EQR,23655759872
CMS,23530061824
PHM,23204360192
ON,23164923904
DRI,23146438656
BRO,23141500928
LEN,23041153024
SYF,23040145408
DLTR,22775050240
PPG,22589116416
CPAY,22533840896
L,22490761216
VLTO,22379063296
EFX,22377302016
NI,22347499520
DGX,22341914624
Q,22315044864
RF,22180591616
LDOS,22179037184
VRSN,21874419712
LH,21859901440
WSM,21477783552
TSN,21462734848
FSLR,21321621504
CF,21179795456
MRNA,21145057280
GIS,21031137280
STE,20941627392
KEY,20926461952
SW,20920344576
BR,20790609920
CHRW,20367790080
RL,20353128448
LUV,20028536832
HUM,19777738752
GPN,19721846784
SBAC,19576629248
ALB,19348744192
NTAP,19197990912
TROW,19193942016
PKG,19166464000
JBHT,19131269120
EXPD,19060457472
DD,19045654528
SNA,18968717312
PFG,18958479360
EVRG,18876182528
IP,18838523904
LULU,18771476480
PTC,18768066560
AMCR,18581168128
SMCI,18515859456
CSGP,18440527872
ZBH,18412056576
LNT,18406141952
NVR,18365247488
INCY,18305351680
IFF,17903699968
HPQ,17372856320
FTV,17365415936
ESS,17363462144
CNC,17042323456
LII,16944714752
HOLX,16788017152
WST,16717627392
PODD,16614123520
WY,16561781760
BALL,16508012544
HII,16266290176
FFIV,16108217344
VTRS,15923218432
TXT,15904513024
TKO,15868919808
TRMB,15771781120
KIM,15544989696
MKC,15467411456
AKAM,15458837504
INVH,15411337216
MAA,15359418368
J,15240477696
APTV,15060733952
NDSN,14962556928
GPC,14899282944
TYL,14876580864
NWS,14787336192
CDW,14782188544
DECK,14672132096
PNR,14501125120
REG,14302779392
IEX,14081425408
COO,13974093824
UDR,13576196096
NWSA,13568623616
HAS,13397505024
DPZ,13337555968
CLX,13330015232
BBY,13173349376
AVY,13102306304
EG,13065006080
HST,13031570432
GEN,12954121216
ERIE,12731536384
TTD,12618151936
ALLE,12557427712
HRL,12494202880
BEN,12448202752
MAS,12354878464
PNW,12292451328
ALGN,12135077888
JKHY,12037403648
GNRC,11932236800
APA,11920471040
DOC,11763618816
IT,11662082048
UHS,11640670208
SOLV,11499984896
SJM,11352809472
GL,11063613440
SWK,11018396672
GDDY,10988362752
PSKY,10900621312
CPT,10844875776
AIZ,10823279616
BF-B,10635042816
ZBRA,10337728512
WYNN,10303188992
DVA,10250292224
IVZ,10173440000
AES,10143275008
MOS,9951090688
MGM,9929651200
RVTY,9626157056
BLDR,9566785536
BXP,9329131520
BAX,9245385728
AOS,9215640576
FRT,9177050112
NCLH,8949193728
HSIC,8842310656
ARE,8744736768
TAP,8665109504
SWKS,8272052224
TECH,8079247872
CAG,7747193344
MOH,7695644672
POOL,7607648256
FDS,7607473152
CRL,7563359232
EPAM,7559421952
MTCH,7110434304
PAYC,6953311232
CPB,6466531840
LW,5663284736
